title ,worldwide gross,% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year,decade
The Avengers,1518815515,690%,6.9,220,623,41.00%,895,59.00%,2012,2010's
The Batman,770836163,385%,3.9,200,369,47.90%,401,52.10%,2022,2020's
The Best Exotic Marigold Hotel,136836156,1368%,13.7,10,46.4,33.90%,90.4,66.10%,2012,2010's
The Big Sick,55263649,1105%,11.1,5,42.9,77.60%,12.4,22.40%,2017,2010's
The Blind Side ,309200000,1066%,10.7,29,256,82.80%,53.2,17.20%,2009,2000's
The Bodyguard,411046449,1644%,16.4,25,122,29.70%,289,70.30%,1992,1990's
The Boss Baby,527965936,422%,4.2,125,175,33.20%,353,66.80%,2017,2010's
The Bourne Ultimatum,444100035,404%,4,110,227,51.20%,217,48.80%,2007,2000's
The Boy Next Door,50163103,1254%,12.5,4,35.4,70.60%,14.7,29.40%,2015,2010's
The Campaign,104907746,1049%,10.5,10,86.9,82.80%,18,17.20%,2012,2010's
The Conjuring,320406242,1602%,16,20,137,42.90%,183,57.10%,2013,2010's
The Conjuring 2,321834351,805%,8,40,103,31.80%,219,68.20%,2016,2010's
The Croods,587235983,336%,3.4,175,187,31.90%,400,68.10%,2013,2010's
The Curious Case of Benjamin Button,335802786,224%,2.2,150,128,38.00%,208,62.00%,2008,2000's
The Curse of La Llorona,122133739,1357%,13.6,9,54.7,44.80%,67.4,55.20%,2019,2010's
The Da Vinci Code,760006945,608%,6.1,125,218,28.60%,542,71.40%,2006,2000's
The Dark Knight,1006234167,544%,5.4,185,535,53.20%,471,46.80%,2008,2000's
The Dark Knight Rises,1081169825,360%,3.6,300,448,41.40%,633,58.60%,2012,2010's
The Day After Tomorrow,552639571,442%,4.4,125,187,33.80%,366,66.20%,2004,2000's
The Death of Stalin,24640027,1895%,19,13,8,3.30%,16.6,6.70%,2017,2010's
The Devil Inside,101758490,10176%,101.8,1,53.3,52.30%,48.5,47.70%,2012,2010's
